 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
9	E01000010	Barking and Dagenham 015C	E09000002	Barking and Dagenham	London	56	140	13.3	0.1269265639
576	E01000586	Brent 032E	E09000005	Brent	London	57	129	12.2	1057.3770491803
728	E01000742	Bromley 005C	E09000006	Bromley	London	3	111	11.1	1000
838	E01000855	Camden 028A	E09000007	Camden	London	69	130	12.2	1065.5737704918
913	E01000930	Camden 020B	E09000007	Camden	London	35	94	9.1	1032.967032967
1079	E01001097	Croydon 037E	E09000008	Croydon	London	12	61	6	1016.6666666667
1099	E01001117	Croydon 015C	E09000008	Croydon	London	71	132	12.3	1073.1707317073
1155	E01001173	Croydon 028E	E09000008	Croydon	London	42	72	6.9	1043.4782608696
1204	E01001222	Ealing 019A	E09000009	Ealing	London	102	132	12	1100
1226	E01001244	Ealing 024E	E09000009	Ealing	London	58	94	8.9	1056.1797752809
1409	E01001429	Enfield 030D	E09000010	Enfield	London	92	123	11.3	1088.4955752212
1497	E01001519	Enfield 020D	E09000010	Enfield	London	87	98	9	1088.8888888889
1635	E01001668	Greenwich 036C	E09000011	Greenwich	London	1	97	9.7	1000
1709	E01001748	Hackney 020A	E09000012	Hackney	London	37	103	9.9	1040.404040404
1713	E01001752	Hackney 025A	E09000012	Hackney	London	19	52	5.1	1019.6078431373
1715	E01001754	Hackney 025C	E09000012	Hackney	London	81	119	11	1081.8181818182
1740	E01001782	Hackney 026C	E09000012	Hackney	London	6	50	5	1000
1813	E01001859	Hammersmith and Fulham 008A	E09000013	Hammersmith and Fulham	London	86	102	9.4	1085.1063829787
2163	E01002213	Harrow 027D	E09000015	Harrow	London	74	142	13.2	1075.7575757576
2498	E01002554	Hillingdon 022F	E09000017	Hillingdon	London	26	56	5.5	1018.1818181818
2626	E01002684	Hounslow 006D	E09000018	Hounslow	London	48	90	8.6	1046.511627907
2638	E01002698	Islington 017A	E09000019	Islington	London	14	73	7.2	1013.8888888889
