"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"9"	"E01000010"	"Barking and Dagenham 015C"	"E09000002"	"Barking and Dagenham"	"London"	56	137	13
"576"	"E01000586"	"Brent 032E"	"E09000005"	"Brent"	"London"	57	91	8.6
"728"	"E01000742"	"Bromley 005C"	"E09000006"	"Bromley"	"London"	3	59	5.9
"838"	"E01000855"	"Camden 028A"	"E09000007"	"Camden"	"London"	69	75	7
"913"	"E01000930"	"Camden 020B"	"E09000007"	"Camden"	"London"	35	75	7.3
"1079"	"E01001097"	"Croydon 037E"	"E09000008"	"Croydon"	"London"	12	45	4.5
"1099"	"E01001117"	"Croydon 015C"	"E09000008"	"Croydon"	"London"	71	100	9.3
"1155"	"E01001173"	"Croydon 028E"	"E09000008"	"Croydon"	"London"	42	50	4.8
"1204"	"E01001222"	"Ealing 019A"	"E09000009"	"Ealing"	"London"	102	130	11.8
"1226"	"E01001244"	"Ealing 024E"	"E09000009"	"Ealing"	"London"	58	63	6
"1635"	"E01001668"	"Greenwich 036C"	"E09000011"	"Greenwich"	"London"	1	80	8
"1709"	"E01001748"	"Hackney 020A"	"E09000012"	"Hackney"	"London"	37	74	7.1
"1713"	"E01001752"	"Hackney 025A"	"E09000012"	"Hackney"	"London"	19	41	4
"1715"	"E01001754"	"Hackney 025C"	"E09000012"	"Hackney"	"London"	81	82	7.6
"1740"	"E01001782"	"Hackney 026C"	"E09000012"	"Hackney"	"London"	6	35	3.5
"2163"	"E01002213"	"Harrow 027D"	"E09000015"	"Harrow"	"London"	74	151	14.1
"2498"	"E01002554"	"Hillingdon 022F"	"E09000017"	"Hillingdon"	"London"	26	41	4
"2626"	"E01002684"	"Hounslow 006D"	"E09000018"	"Hounslow"	"London"	48	71	6.8
"2638"	"E01002698"	"Islington 017A"	"E09000019"	"Islington"	"London"	14	70	6.9
"2655"	"E01002716"	"Islington 014A"	"E09000019"	"Islington"	"London"	37	54	5.2
"2900"	"E01002965"	"Kingston upon Thames 009A"	"E09000021"	"Kingston upon Thames"	"London"	30	92	8.9
"2957"	"E01003023"	"Lambeth 021C"	"E09000022"	"Lambeth"	"London"	28	67	6.5
"3008"	"E01003074"	"Lambeth 018E"	"E09000022"	"Lambeth"	"London"	60	82	7.7
"3024"	"E01003090"	"Lambeth 012D"	"E09000022"	"Lambeth"	"London"	2	77	7.7
"3042"	"E01003109"	"Lambeth 003E"	"E09000022"	"Lambeth"	"London"	46	72	6.9
"3102"	"E01003169"	"Lambeth 025D"	"E09000022"	"Lambeth"	"London"	36	79	7.6
"3212"	"E01003282"	"Lewisham 013A"	"E09000023"	"Lewisham"	"London"	11	67	6.6
"3533"	"E01003609"	"Newham 037A"	"E09000025"	"Newham"	"London"	11	55	5.4
"3537"	"E01003617"	"Newham 012B"	"E09000025"	"Newham"	"London"	50	75	7.1
"3539"	"E01003619"	"Newham 012D"	"E09000025"	"Newham"	"London"	39	95	9.2
"3843"	"E01003929"	"Southwark 002B"	"E09000028"	"Southwark"	"London"	33	59	5.7
"3910"	"E01004004"	"Southwark 023C"	"E09000028"	"Southwark"	"London"	28	73	7.1
"4121"	"E01004222"	"Tower Hamlets 001A"	"E09000030"	"Tower Hamlets"	"London"	1	59	5.9
"4136"	"E01004238"	"Tower Hamlets 008D"	"E09000030"	"Tower Hamlets"	"London"	11	100	9.9
"4150"	"E01004252"	"Tower Hamlets 024A"	"E09000030"	"Tower Hamlets"	"London"	47	49	4.7
"4185"	"E01004291"	"Tower Hamlets 027A"	"E09000030"	"Tower Hamlets"	"London"	10	28	2.8
"4438"	"E01004548"	"Wandsworth 029D"	"E09000032"	"Wandsworth"	"London"	7	49	4.9
"4557"	"E01004675"	"Westminster 005B"	"E09000033"	"Westminster"	"London"	57	103	9.8
"4563"	"E01004681"	"Westminster 016A"	"E09000033"	"Westminster"	"London"	101	119	10.8
"4639"	"E01004761"	"Westminster 018D"	"E09000033"	"Westminster"	"London"	37	104	10
"4640"	"E01004762"	"Westminster 011E"	"E09000033"	"Westminster"	"London"	88	132	12.1
"4641"	"E01004763"	"Westminster 013B"	"E09000033"	"Westminster"	"London"	35	182	17.6
"4642"	"E01004765"	"Westminster 013D"	"E09000033"	"Westminster"	"London"	62	95	9
"4911"	"E01005036"	"Bury 024C"	"E08000002"	"Bury"	"North West"	21	72	7.1
"4979"	"E01005108"	"Manchester 017A"	"E08000003"	"Manchester"	"North West"	42	185	17.8
"5075"	"E01005214"	"Manchester 019D"	"E08000003"	"Manchester"	"North West"	1	52	5.2
"5102"	"E01005241"	"Manchester 025A"	"E08000003"	"Manchester"	"North West"	2	235	23.5
"5104"	"E01005243"	"Manchester 024B"	"E08000003"	"Manchester"	"North West"	75	94	8.7
"5316"	"E01005466"	"Rochdale 016C"	"E08000005"	"Rochdale"	"North West"	62	133	12.5
"5457"	"E01005612"	"Salford 016C"	"E08000006"	"Salford"	"North West"	23	94	9.2
"5465"	"E01005620"	"Salford 030E"	"E08000006"	"Salford"	"North West"	50	104	9.9
"5476"	"E01005631"	"Salford 020A"	"E08000006"	"Salford"	"North West"	13	92	9.1
"5524"	"E01005682"	"Salford 024D"	"E08000006"	"Salford"	"North West"	23	136	13.3
"5560"	"E01005720"	"Salford 021D"	"E08000006"	"Salford"	"North West"	109	131	11.8
"6025"	"E01006185"	"Trafford 001E"	"E08000009"	"Trafford"	"North West"	8	120	11.9
"6027"	"E01006187"	"Trafford 003C"	"E08000009"	"Trafford"	"North West"	141	153	13.4
"6085"	"E01006245"	"Wigan 023D"	"E08000010"	"Wigan"	"North West"	72	82	7.6
"6328"	"E01006490"	"Knowsley 002E"	"E08000011"	"Knowsley"	"North West"	22	38	3.7
"6351"	"E01006514"	"Liverpool 037A"	"E08000012"	"Liverpool"	"North West"	104	222	20.1
"6357"	"E01006522"	"Liverpool 048A"	"E08000012"	"Liverpool"	"North West"	84	95	8.8
"6390"	"E01006556"	"Liverpool 039B"	"E08000012"	"Liverpool"	"North West"	7	345	34.3
"6472"	"E01006646"	"Liverpool 023C"	"E08000012"	"Liverpool"	"North West"	1	57	5.7
"6499"	"E01006675"	"Liverpool 043C"	"E08000012"	"Liverpool"	"North West"	118	191	17.1
"6502"	"E01006678"	"Liverpool 044E"	"E08000012"	"Liverpool"	"North West"	52	129	12.3
"6519"	"E01006695"	"Liverpool 028C"	"E08000012"	"Liverpool"	"North West"	19	215	21.1
"6595"	"E01006778"	"Liverpool 014E"	"E08000012"	"Liverpool"	"North West"	114	157	14.1
"6716"	"E01006900"	"St. Helens 022B"	"E08000013"	"St. Helens"	"North West"	54	55	5.2
"6783"	"E01006968"	"Sefton 004C"	"E08000014"	"Sefton"	"North West"	43	150	14.4
"7248"	"E01007443"	"Barnsley 013F"	"E08000016"	"Barnsley"	"Yorkshire and The Humber"	27	126	12.3
"7335"	"E01007532"	"Doncaster 023B"	"E08000017"	"Doncaster"	"Yorkshire and The Humber"	39	116	11.2
"7412"	"E01007609"	"Doncaster 038B"	"E08000017"	"Doncaster"	"Yorkshire and The Humber"	45	83	8
"7517"	"E01007714"	"Rotherham 017B"	"E08000018"	"Rotherham"	"Yorkshire and The Humber"	15	184	18.1
"7765"	"E01007970"	"Sheffield 049D"	"E08000019"	"Sheffield"	"Yorkshire and The Humber"	8	54	5.4
"7955"	"E01008168"	"Gateshead 027D"	"E08000020"	"Gateshead"	"North East"	73	98	9.1
"8021"	"E01008234"	"Gateshead 020C"	"E08000020"	"Gateshead"	"North East"	18	77	7.6
"8046"	"E01008259"	"Gateshead 007D"	"E08000020"	"Gateshead"	"North East"	25	155	15.1
"8090"	"E01008303"	"Newcastle upon Tyne 018A"	"E08000021"	"Newcastle upon Tyne"	"North East"	45	120	11.5
"8091"	"E01008304"	"Newcastle upon Tyne 026C"	"E08000021"	"Newcastle upon Tyne"	"North East"	60	143	13.5
"8207"	"E01008425"	"Newcastle upon Tyne 030B"	"E08000021"	"Newcastle upon Tyne"	"North East"	14	146	14.4
"8375"	"E01008597"	"South Tyneside 001C"	"E08000023"	"South Tyneside"	"North East"	25	116	11.3
"8479"	"E01008703"	"Sunderland 013B"	"E08000024"	"Sunderland"	"North East"	72	83	7.7
"8510"	"E01008735"	"Sunderland 016B"	"E08000024"	"Sunderland"	"North East"	15	168	16.6
"8599"	"E01008831"	"Sunderland 013D"	"E08000024"	"Sunderland"	"North East"	109	294	26.5
"8734"	"E01008974"	"Birmingham 118C"	"E08000025"	"Birmingham"	"West Midlands"	122	141	12.6
"8939"	"E01009203"	"Birmingham 043C"	"E08000025"	"Birmingham"	"West Midlands"	125	165	14.7
"9105"	"E01009378"	"Birmingham 135A"	"E08000025"	"Birmingham"	"West Midlands"	35	89	8.6
"9264"	"E01009548"	"Coventry 031A"	"E08000026"	"Coventry"	"West Midlands"	14	168	16.6
"9339"	"E01009629"	"Coventry 020A"	"E08000026"	"Coventry"	"West Midlands"	56	226	21.4
"9584"	"E01009881"	"Dudley 011C"	"E08000027"	"Dudley"	"West Midlands"	109	148	13.3
"9939"	"E01010241"	"Walsall 015A"	"E08000030"	"Walsall"	"West Midlands"	16	102	10
"10062"	"E01010368"	"Walsall 030A"	"E08000030"	"Walsall"	"West Midlands"	4	157	15.7
"10100"	"E01010406"	"Walsall 027C"	"E08000030"	"Walsall"	"West Midlands"	69	226	21.1
"10167"	"E01010473"	"Wolverhampton 015C"	"E08000031"	"Wolverhampton"	"West Midlands"	169	268	22.8
"10215"	"E01010521"	"Wolverhampton 020F"	"E08000031"	"Wolverhampton"	"West Midlands"	46	215	20.6
"10274"	"E01010580"	"Bradford 010B"	"E08000032"	"Bradford"	"Yorkshire and The Humber"	23	57	5.6
"10279"	"E01010585"	"Bradford 015E"	"E08000032"	"Bradford"	"Yorkshire and The Humber"	7	87	8.6
"10401"	"E01010709"	"Bradford 006D"	"E08000032"	"Bradford"	"Yorkshire and The Humber"	78	102	9.5
"10680"	"E01010994"	"Calderdale 008E"	"E08000033"	"Calderdale"	"Yorkshire and The Humber"	64	178	16.7
"10906"	"E01011222"	"Kirklees 050D"	"E08000034"	"Kirklees"	"Yorkshire and The Humber"	25	145	14.2
"11040"	"E01011361"	"Leeds 042E"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	114	211	18.9
"11166"	"E01011499"	"Leeds 105C"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	77	101	9.4
"11205"	"E01011541"	"Leeds 104B"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	32	122	11.8
"11352"	"E01011704"	"Leeds 002C"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	9	85	8.4
"11382"	"E01011734"	"Leeds 083A"	"E08000035"	"Leeds"	"Yorkshire and The Humber"	38	102	9.8
"11460"	"E01011812"	"Wakefield 013B"	"E08000036"	"Wakefield"	"Yorkshire and The Humber"	32	38	3.7
"11738"	"E01012102"	"Redcar and Cleveland 001C"	"E06000003"	"Redcar and Cleveland"	"North East"	20	183	18
"11764"	"E01012138"	"Redcar and Cleveland 006A"	"E06000003"	"Redcar and Cleveland"	"North East"	5	41	4.1
"11882"	"E01012264"	"Stockton-on-Tees 014C"	"E06000004"	"Stockton-on-Tees"	"North East"	18	126	12.4
"11883"	"E01012266"	"Stockton-on-Tees 014E"	"E06000004"	"Stockton-on-Tees"	"North East"	128	173	15.3
"11909"	"E01012292"	"Stockton-on-Tees 019C"	"E06000004"	"Stockton-on-Tees"	"North East"	38	106	10.2
"11934"	"E01012319"	"Darlington 013C"	"E06000005"	"Darlington"	"North East"	95	137	12.5
"11952"	"E01012340"	"Darlington 012D"	"E06000005"	"Darlington"	"North East"	34	122	11.8
"12040"	"E01012428"	"Halton 012C"	"E06000006"	"Halton"	"North West"	15	92	9.1
"12043"	"E01012431"	"Halton 012F"	"E06000006"	"Halton"	"North West"	3	131	13.1
"12053"	"E01012441"	"Halton 007D"	"E06000006"	"Halton"	"North West"	66	128	12
"12069"	"E01012458"	"Warrington 018B"	"E06000007"	"Warrington"	"North West"	1	70	7
"12312"	"E01012704"	"Blackpool 002C"	"E06000009"	"Blackpool"	"North West"	68	69	6.5
"12371"	"E01012763"	"Kingston upon Hull 018C"	"E06000010"	"Kingston upon Hull City of"	"Yorkshire and The Humber"	15	247	24.4
"12457"	"E01012850"	"Kingston upon Hull 024A"	"E06000010"	"Kingston upon Hull City of"	"Yorkshire and The Humber"	3	214	21.4
"12494"	"E01012891"	"Kingston upon Hull 030C"	"E06000010"	"Kingston upon Hull City of"	"Yorkshire and The Humber"	93	170	15.6
"12540"	"E01012937"	"East Riding of Yorkshire 002D"	"E06000011"	"East Riding of Yorkshire"	"Yorkshire and The Humber"	69	117	10.9
"12579"	"E01012977"	"East Riding of Yorkshire 044B"	"E06000011"	"East Riding of Yorkshire"	"Yorkshire and The Humber"	43	58	5.6
"12725"	"E01013124"	"East Riding of Yorkshire 015D"	"E06000011"	"East Riding of Yorkshire"	"Yorkshire and The Humber"	8	54	5.4
"12738"	"E01013137"	"North East Lincolnshire 002B"	"E06000012"	"North East Lincolnshire"	"Yorkshire and The Humber"	8	78	7.7
"12838"	"E01013240"	"North Lincolnshire 015B"	"E06000013"	"North Lincolnshire"	"Yorkshire and The Humber"	12	81	8
